typeId,answer,levelId,definition,synonym1,synonym2,antonym1,antonym2,clue1,clue2,clue3,clue4,de,sy,an,cl
1,bandage,8,A covering for your wound,gauze,plaster,,,,,,,1,1,0,0
3,gain,2,To increase in something,acquire,increase,lose,decrease,,,,,1,1,1,0
1,landlord,5,Owner of a property that is rented,,,,,,,,,1,0,0,0
2,various,1,Many different things,diverse,assorted,,,,,,,1,1,0,0
1,letter,1,A written or printed message to someone,mail,note,,,alphabet,mail,message,document,1,1,0,1
1,sauce,3,A thick liquid that adds flavor to food,,,,,gravy,ketchup,salsa,marinara,1,0,0,1
2,timely,3,Happening at the correct or useful time,well-timed,opportune,untimely,unopportune,,,,,1,1,1,0
2,friendly,1,Acting very kind and helpful,affable,warm,estranged,hostile,,,,,1,1,1,0
3,guard,3,To watch and protect something,protect,secure,,,safety,defend,sentry,patrol,1,1,0,1
3,sell,1,To exchange something for money,vend,trade,buy,purchase,,,,,1,1,1,0
1,wrinkle,7,A line on the skin as you grow older,crease,furrow,,,skin,old,line,age,1,1,0,1
3,wonder,2,To have interest in knowing something,,,,,,,,,1,0,0,0
3,clarify,4,To make something clear or clearer,,,,,,,,,1,0,0,0
1,amateur,2,A person who is not skillful at a job,inexperienced,nonprofessional,expert,professional,,,,,1,1,1,0
2,huge,1,"Very great in size, amount or degree",big,enormous,tiny,small,big,enormous,giant,large,1,1,1,1
1,home,1,The place where a person lives,abode,residence,,,family,place,house,residence,1,1,0,1
5,under,1,Directly below something or someone,beneath,below,above,over,,,,,1,1,1,0
3,recover,3,To return to a normal state or health,heal,mend,deteriorate,weaken,,,,,1,1,1,0
1,fury,6,Wild or violent anger,rage,anger,,,,,,,1,1,0,0
3,emerge,4,To rise or appear into view,arise,surface,,,,,,,1,1,0,0
1,slang,6,Words that are used informally,jargon,lingo,,,,,,,1,1,0,0
1,wage,3,Amount of money a worker is paid,salary,pay,,,,,,,1,1,0,0
1,vision,2,The ability to see,,,,,,,,,1,0,0,0
3,warn,4,To tell about possible danger,alert,notify,,,,,,,1,1,0,0
3,ignore,3,To refuse to notice,disregard,overlook,mind,tend to,,,,,1,1,1,0
2,toxic,3,Containing poisonous substance,poisonous,noxious,,,,,,,1,1,0,0
2,mild,4,"Gentle, not strong or harsh",gentle,soft,harsh,intense,,,,,1,1,1,0
1,itinerary,5,A travel plan or schedule,travel plan,schedule,,,,,,,1,1,0,0
4,seldom,5,Not often or frequent,rarely,scarcely,often,frequently,,,,,1,1,1,0
2,serious,1,Not joking or funny,solemn,earnest,lighthearted,cheerful,,,,,1,1,1,0
3,travel,1,To go to a place,voyage,journey,,,,,,,1,1,0,0
2,dark,2,Having very little or no light,dim,black,bright,luminous,,,,,1,1,1,0
2,lose,2,To fail to win,defeated,beaten,win,victory,,,,,1,1,1,0
1,odor,5,A particular smell,smell,scent,,,,,,,1,1,0,0
3,quit,3,To leave (a job); to stop doing,give up,leave,continue,stay,,,,,1,1,1,0
1,pal,5,A close friend or buddy,friend,buddy,enemy,foe,,,,,1,1,1,0
1,deaf,5,Not able to hear,,,,,,,,,1,0,0,0
1,dawn,4,Time during the day when light first appears ,sunrise,morning,dusk,night,,,,,1,1,1,0
,ability,1,Power or skill to do something,competence,capacity,disability,incapacity,,,,,1,1,1,0
,lumber,5,Logs that have been cut for use,wood,timber,,,,,,,1,1,0,0
,humble,5,The act of being modest; not proud,modest,down-to-earth,arrogant,haughty,,,,,1,1,1,0
