typeId,answer,levelId,definition,synonym1,synonym2,antonym1,antonym2,clue1,clue2,clue3,clue4,choice1,choice2,de,sy,an,cl
1,bandage,8,A covering for your wound,gauze,plaster,,,,,,,cloth,bondage,1,1,0,0
3,gain,2,To increase in something,acquire,increase,lose,decrease,,,,,rice,time,1,1,1,0
1,landlord,5,Owner of a property that is rented,,,,,,,,,,,1,0,0,0
2,various,1,Many different things,diverse,assorted,,,,,,,colorful,records,1,1,0,0
1,letter,1,A written or printed message to someone,mail,note,,,alphabet,mail,message,document,word,sentence,1,1,0,1
1,sauce,3,A thick liquid that adds flavor to food,,,,,gravy,ketchup,salsa,marinara,,,1,0,0,1
2,timely,3,Happening at the correct or useful time,well-timed,opportune,untimely,unopportune,,,,,season,zone,1,1,1,0
2,friendly,1,Acting very kind and helpful,affable,warm,estranged,hostile,,,,,angry,sweet,1,1,1,0
3,guard,3,To watch and protect something,protect,secure,,,safety,defend,sentry,patrol,fence,assist,1,1,0,1
3,sell,1,To exchange something for money,vend,trade,buy,purchase,,,,,product,cheap,1,1,1,0
1,wrinkle,7,A line on the skin as you grow older,crease,furrow,,,skin,old,line,age,skin,blemish,1,1,0,1
3,wonder,2,To have interest in knowing something,,,,,,,,,,,1,0,0,0
3,clarify,4,To make something clear or clearer,,,,,,,,,,,1,0,0,0
1,amateur,2,A person who is not skillful at a job,inexperienced,nonprofessional,expert,professional,,,,,unpaid,well-known,1,1,1,0
2,huge,1,"Very great in size, amount or degree",big,enormous,tiny,small,big,enormous,giant,large,size,heavy,1,1,1,1
1,home,1,The place where a person lives,abode,residence,,,family,place,house,residence,room,family,1,1,0,1
5,under,1,Directly below something or someone,beneath,below,above,over,,,,,recent,after,1,1,1,0
3,recover,3,To return to a normal state or health,heal,mend,deteriorate,weaken,,,,,manage,fail,1,1,1,0
1,fury,6,Wild or violent anger,rage,wrath,,,,,,,fierce,hatred,1,1,0,0
3,emerge,4,To rise or appear into view,arise,surface,,,,,,,leak,burst,1,1,0,0
1,slang,6,Words that are used informally,jargon,lingo,,,,,,,language,accent,1,1,0,0
1,wage,3,Amount of money a worker is paid,salary,pay,,,work,pay,labor,salary,money,tax,1,1,0,1
1,vision,2,The ability to see,,,,,,,,,,,1,0,0,0
3,warn,4,To tell about possible danger,alert,notify,,,,,,,discourage,frighten,1,1,0,0
3,ignore,3,To refuse to notice,disregard,overlook,mind,tend to,,,,,avoid,pretend,1,1,1,0
2,toxic,3,Containing poisonous substance,poisonous,noxious,,,poison,harmful,deadly,waste,liquid,chemical,1,1,0,1
2,mild,4,"Gentle, not strong or harsh",gentle,soft,harsh,intense,,,,,low,easy,1,1,1,0
1,itinerary,5,A travel plan or schedule,travel plan,schedule,,,,,,,travel,trip,1,1,0,0
4,seldom,5,Not often or frequent,rarely,scarcely,often,frequently,,,,,clear,obviously,1,1,1,0
2,serious,1,Not joking or funny,solemn,earnest,lighthearted,cheerful,,,,,difficult,trouble,1,1,1,0
3,travel,1,To go to a place,voyage,journey,,,flight,luggage,place,trip,place,step,1,1,0,1
2,dark,2,Having very little or no light,dim,black,bright,luminous,night,shadow,color,dim,white,evil,1,1,1,1
2,lose,2,To fail to win,defeated,beaten,win,victory,,,,,fail,hope,1,1,1,0
1,odor,5,A particular smell,smell,scent,,,,,,,taste,stain,1,1,0,0
3,quit,3,To leave (a job); to stop doing,give up,leave,continue,stay,,,,,drop,break,1,1,1,0
1,pal,5,A close friend or buddy,friend,buddy,enemy,foe,,,,,person,hunk,1,1,1,0
1,deaf,5,Not able to hear,,,,,,,,,,,1,0,0,0
1,dawn,4,Time during the day when light first appears ,sunrise,morning,dusk,night,,,,,day,summer,1,1,1,0
,ability,1,Power or skill to do something,competence,capacity,disability,incapacity,,,,,strength,difficulty,1,1,1,0
,lumber,5,Logs that have been cut for use,wood,timber,,,,,,,forest,brushwood,1,1,0,0
,humble,5,The act of being modest; not proud,modest,down-to-earth,arrogant,haughty,,,,,broken,polite,1,1,1,0
,bias,3,One-sidedness or favoritism,favoritism,one-sidedness,neutrality,objectivity,,,,,taboo,idea,1,1,1,0
,butcher,7,Someone who cuts and sells meat,meat vendor,meat seller,,,,,,,knife,meat,1,1,0,0
,apply,1,To spread on a surface,,,,,,,,,,,1,0,0,0
,clinic,4,A health center or a doctor's office,health center,doctor's office,,,,,,,pharmacy,medicine,1,1,0,0
,always,1,At all times,constantly,perpetually,never,seldom,,,,,really,anything,1,1,1,0
,conceal,6,To hide something or someone,hide,cover,show,reveal,,,,,shield,hood,1,1,1,0
,juvenile,4,Of or relating to a young person,young,adolescent,adult,old,,,,,jail,delinquent,1,1,1,0
,prepare,2,To make something  ready,prep,ready,,,,,,,make,deliver,1,1,0,0
,narrow,3,To become less wide,,,broad,wide,,,,,wood,bone,1,0,1,0
,lad,6,A boy or young man,boy,laddie,,,,,,,kid,youth,1,1,0,0
,hard,1,Difficult to understand or solve,difficult,tough,easy,simple,,,,,rocky,tall,1,1,1,0
,jolly,7,Happy and cheerful,happy,cheerful,gloomy,sad,,,,,rally,pug,1,1,1,0
,ill,2,Not showing good health,sick,unhealthy,well,healthy,,,,,fever,wicked,1,1,1,0
